name,driverId_Ref
United States Grand Prix,prost
Canadian Grand Prix,boutsen
French Grand Prix,prost
British Grand Prix,prost
German Grand Prix,senna
Hungarian Grand Prix,mansell
Belgian Grand Prix,senna
Italian Grand Prix,prost
Portuguese Grand Prix,berger
Spanish Grand Prix,senna
Japanese Grand Prix,nannini
Australian Grand Prix,boutsen
Brazilian Grand Prix,prost
San Marino Grand Prix,senna
Monaco Grand Prix,prost
Mexican Grand Prix,prost
Canadian Grand Prix,senna
Detroit Grand Prix,senna
French Grand Prix,prost
British Grand Prix,senna
German Grand Prix,senna
Hungarian Grand Prix,senna
Belgian Grand Prix,senna
Italian Grand Prix,berger
Portuguese Grand Prix,prost
Spanish Grand Prix,prost
Japanese Grand Prix,senna
Australian Grand Prix,prost
Brazilian Grand Prix,prost
San Marino Grand Prix,mansell
Belgian Grand Prix,prost
Monaco Grand Prix,senna
Detroit Grand Prix,senna
French Grand Prix,mansell
British Grand Prix,mansell
German Grand Prix,piquet
Hungarian Grand Prix,piquet
Austrian Grand Prix,mansell
Italian Grand Prix,piquet
Portuguese Grand Prix,prost
Spanish Grand Prix,mansell
Mexican Grand Prix,mansell
Japanese Grand Prix,berger
Australian Grand Prix,berger
Brazilian Grand Prix,piquet
Spanish Grand Prix,senna
San Marino Grand Prix,prost
Monaco Grand Prix,prost
Belgian Grand Prix,mansell
Canadian Grand Prix,mansell
Detroit Grand Prix,senna
French Grand Prix,mansell
British Grand Prix,mansell
German Grand Prix,piquet
Hungarian Grand Prix,piquet
Austrian Grand Prix,prost
Italian Grand Prix,piquet
Portuguese Grand Prix,mansell
Mexican Grand Prix,berger
Australian Grand Prix,prost
Brazilian Grand Prix,prost
Portuguese Grand Prix,senna
San Marino Grand Prix,angelis
Monaco Grand Prix,prost
Canadian Grand Prix,alboreto
Detroit Grand Prix,keke_rosberg
French Grand Prix,piquet
British Grand Prix,prost
German Grand Prix,alboreto
Austrian Grand Prix,prost
Dutch Grand Prix,lauda
Italian Grand Prix,prost
Belgian Grand Prix,senna
European Grand Prix,mansell
South African Grand Prix,mansell
Australian Grand Prix,keke_rosberg
Brazilian Grand Prix,prost
South African Grand Prix,lauda
Belgian Grand Prix,alboreto
San Marino Grand Prix,prost
French Grand Prix,lauda
Monaco Grand Prix,prost
Canadian Grand Prix,piquet
Detroit Grand Prix,piquet
Dallas Grand Prix,keke_rosberg
British Grand Prix,lauda
German Grand Prix,prost
Austrian Grand Prix,lauda
Dutch Grand Prix,prost
Italian Grand Prix,lauda
European Grand Prix,prost
Portuguese Grand Prix,prost
Brazilian Grand Prix,piquet
United States Grand Prix West,watson
French Grand Prix,prost
San Marino Grand Prix,tambay
Monaco Grand Prix,keke_rosberg
Belgian Grand Prix,prost
Detroit Grand Prix,alboreto
Canadian Grand Prix,arnoux
British Grand Prix,prost
German Grand Prix,arnoux
Austrian Grand Prix,prost
Dutch Grand Prix,arnoux
Italian Grand Prix,piquet
European Grand Prix,piquet
South African Grand Prix,patrese
South African Grand Prix,prost
Brazilian Grand Prix,prost
United States Grand Prix West,lauda
San Marino Grand Prix,pironi
Belgian Grand Prix,watson
Monaco Grand Prix,patrese
Detroit Grand Prix,watson
Canadian Grand Prix,piquet
Dutch Grand Prix,pironi
British Grand Prix,lauda
French Grand Prix,arnoux
German Grand Prix,tambay
Austrian Grand Prix,angelis
Swiss Grand Prix,keke_rosberg
Italian Grand Prix,arnoux
Caesars Palace Grand Prix,alboreto
United States Grand Prix West,jones
Brazilian Grand Prix,reutemann
Argentine Grand Prix,piquet
San Marino Grand Prix,piquet
Belgian Grand Prix,reutemann
Monaco Grand Prix,gilles_villeneuve
Spanish Grand Prix,gilles_villeneuve
