qualifyId,raceId,driverId,driver_ref,constructorId,constructor_ref,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,,
170,26,17,webber,9,red_bull,10,2,01:21.0,01:19.7,01:21.6,80982,79710,81554,,
171,26,8,raikkonen,6,ferrari,1,3,01:20.4,01:20.0,01:21.7,80370,79971,81706,,
172,26,1,hamilton,1,mclaren,22,4,01:20.3,01:19.5,01:21.8,80288,79537,81835,,
173,26,2,heidfeld,2,bmw_sauber,3,5,01:21.0,01:19.8,01:21.9,81022,79802,81873,,
174,26,4,alonso,4,renault,5,6,01:21.0,01:20.0,01:22.0,80998,79992,82029,,
175,26,12,piquet_jr,4,renault,6,7,01:20.8,01:20.1,01:22.5,80818,80115,82491,,
176,26,20,vettel,5,toro_rosso,15,8,01:20.3,01:20.1,01:23.3,80318,80109,83251,,
177,26,13,massa,6,ferrari,2,9,01:20.7,01:20.1,01:23.3,80676,80086,83305,,
178,26,9,kubica,2,bmw_sauber,4,10,01:20.4,01:19.8,NULL,80444,79788,0,,
179,26,14,coulthard,9,red_bull,9,11,01:21.2,01:20.2,NULL,81224,80174,0,,
180,26,10,glock,7,toyota,12,12,01:20.9,01:20.3,NULL,80893,80274,0,,
181,26,7,bourdais,5,toro_rosso,14,13,01:20.6,01:20.5,NULL,80584,80531,0,,
182,26,15,trulli,7,toyota,11,14,01:21.1,01:20.6,NULL,81145,80601,0,,
183,26,6,nakajima,3,williams,8,15,01:21.4,01:21.1,NULL,81407,81112,0,,
184,26,22,barrichello,11,honda,17,16,01:21.5,,NULL,81512,0,0,,
185,26,18,button,11,honda,16,17,01:21.6,,NULL,81631,0,0,,
186,26,3,rosberg,3,williams,7,18,01:21.7,,NULL,81668,0,0,,
187,26,16,sutil,10,force_india,20,19,01:21.8,,NULL,81786,0,0,,
188,26,21,fisichella,10,force_india,21,20,01:21.9,,NULL,81885,0,0,,
189,27,1,hamilton,1,mclaren,22,1,01:15.2,01:14.6,01:15.7,75218,74603,75666,,
190,27,13,massa,6,ferrari,2,2,01:14.9,01:14.7,01:15.9,74921,74747,75859,,
191,27,5,kovalainen,1,mclaren,23,3,01:15.5,01:14.9,01:16.1,75476,74855,76143,,
192,27,15,trulli,7,toyota,11,4,01:15.6,01:15.1,01:16.2,75560,75122,76191,,
193,27,4,alonso,4,renault,5,5,01:15.9,01:14.9,01:16.4,75917,74943,76385,,
194,27,8,raikkonen,6,ferrari,1,6,01:15.2,01:14.9,01:16.4,75201,74949,76389,,
195,27,9,kubica,2,bmw_sauber,4,7,01:16.0,01:15.1,01:16.5,75985,75109,76521,,
196,27,17,webber,9,red_bull,10,8,01:15.9,01:15.5,01:17.0,75900,75481,77014,,
197,27,20,vettel,5,toro_rosso,15,9,01:15.5,01:15.4,01:17.2,75532,75420,77244,,
198,27,14,coulthard,9,red_bull,9,10,01:16.0,01:15.3,01:17.5,75975,75338,77503,,
