name,driverId_Ref
Malaysian,vettel
Chinese,hamilton
Turkish,vettel
Spanish,vettel
Monaco,vettel
Canadian,button
European,vettel
British,alonso
German,hamilton
Hungarian,button
Belgian,vettel
Italian,vettel
Singapore,vettel
Japanese,button
Korean,vettel
Indian,vettel
Abu Dhabi,hamilton
Brazilian,webber
Australian,button
Malaysian,alonso
Chinese,rosberg
Bahrain,vettel
Spanish,maldonado
Monaco,webber
Canadian,hamilton
European,alonso
British,webber
German,alonso
Hungarian,hamilton
Belgian,button
Italian,hamilton
Singapore,vettel
Japanese,vettel
Korean,vettel
Indian,vettel
Abu Dhabi,raikkonen
United States,hamilton
Brazilian,button
Australian,raikkonen
Malaysian,vettel
Chinese,alonso
Bahrain,vettel
Spanish,alonso
Monaco,rosberg
Canadian,vettel
British,rosberg
German,vettel
Hungarian,hamilton
Belgian,vettel
Italian,vettel
Singapore,vettel
Korean,vettel
Japanese,vettel
Indian,vettel
Abu Dhabi,vettel
United States,vettel
Brazilian,vettel
Australian,rosberg
Malaysian,hamilton
Bahrain,hamilton
Chinese,hamilton
Spanish,hamilton
Monaco,rosberg
Canadian,ricciardo
Austrian,rosberg
British,hamilton
German,rosberg
Hungarian,ricciardo
Belgian,ricciardo
Italian,hamilton
Singapore,hamilton
Japanese,hamilton
Russian,hamilton
United States,hamilton
Brazilian,rosberg
Abu Dhabi,hamilton
Australian,hamilton
Malaysian,vettel
Chinese,hamilton
Bahrain,hamilton
Spanish,rosberg
Monaco,rosberg
Canadian,hamilton
Austrian,rosberg
British,hamilton
Hungarian,vettel
Belgian,hamilton
Italian,hamilton
Singapore,vettel
Japanese,hamilton
Russian,hamilton
United States,hamilton
Mexican,rosberg
Brazilian,rosberg
Abu Dhabi,rosberg
Australian,rosberg
Bahrain,rosberg
Chinese,rosberg
Russian,rosberg
Spanish,max_verstappen
Monaco,hamilton
Canadian,hamilton
European,rosberg
Austrian,hamilton
British,hamilton
Hungarian,hamilton
German,hamilton
Belgian,rosberg
Italian,rosberg
Singapore,rosberg
Malaysian,ricciardo
Japanese,rosberg
United States,hamilton
Mexican,hamilton
Brazilian,hamilton
Abu Dhabi,hamilton
Australian,vettel
Chinese,hamilton
Bahrain,vettel
Russian,bottas
Spanish,hamilton
Monaco,vettel
Canadian,hamilton
Azerbaijan,ricciardo
Austrian,bottas
British,hamilton
Hungarian,vettel
Belgian,hamilton
Italian,hamilton
Singapore,hamilton
Malaysian,max_verstappen
Japanese,hamilton
United States,hamilton
Mexican,max_verstappen
Brazilian,vettel
Abu Dhabi,bottas
